[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- detail.html
	- index.html
	- my.bak
	- register.html

[GIN-debug] GET    /                         --> _/home/ubuntu/go_demo/myproject/controllers.IndexGet (3 handlers)
[GIN-debug] GET    /detail                   --> _/home/ubuntu/go_demo/myproject/controllers.DetailGet (3 handlers)
[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :80
signal: interrupt
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- detail.html
	- index.html
	- my.bak
	- register.html

[GIN-debug] GET    /                         --> _/home/ubuntu/go_demo/myproject/controllers.IndexGet (3 handlers)
[GIN-debug] GET    /detail                   --> _/home/ubuntu/go_demo/myproject/controllers.DetailGet (3 handlers)
[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :80
[GIN] 2019/05/10 - 20:35:19 | 404 |       1.881µs |    202.29.52.15 | GET      /appserv.php
[GIN] 2019/05/10 - 20:35:20 | 404 |       2.268µs |    202.29.52.15 | GET      /scripts/setup.php
[GIN] 2019/05/10 - 20:35:23 | 404 |       2.245µs |    202.29.52.15 | GET      /phpmyadmin/scripts/setup.php
[GIN] 2019/05/10 - 20:35:24 | 404 |       1.579µs |    202.29.52.15 | GET      /phpMyAdmin/scripts/setup.php
[GIN] 2019/05/10 - 20:35:24 | 404 |        1.85µs |    202.29.52.15 | GET      /phpmyadmin/scripts/db___.init.php
[GIN] 2019/05/10 - 20:35:28 | 404 |       2.159µs |    202.29.52.15 | GET      /phpMyAdmin/scripts/db___.init.php
[GIN] 2019/05/10 - 20:35:28 | 404 |       1.723µs |    202.29.52.15 | GET      /plugins/weathermap/editor.php
[GIN] 2019/05/10 - 20:35:28 | 404 |        1.51µs |    202.29.52.15 | GET      /cacti/plugins/weathermap/editor.php
[GIN] 2019/05/10 - 20:35:28 | 404 |       1.662µs |    202.29.52.15 | GET      /index.php?s=%2f%69%6e%64%65%78%2f%5c%74%68%69%6e%6b%5c%61%70%70%2f%69%6e%76%6f%6b%65%66%75%6e%63%74%69%6f%6e&function=%63%61%6c%6c%5f%75%73%65%72%5f%66%75%6e%63%5f%61%72%72%61%79&vars[0]=%6d%645&vars[1][]=%48%65%6c%6c%6f%54%68%69%6e%6b%50%���
[GIN] 2019/05/10 - 20:35:29 | 404 |       1.968µs |    202.29.52.15 | GET      /d7.php
[GIN] 2019/05/10 - 20:35:29 | 404 |       2.028µs |    202.29.52.15 | GET      /rxr.php
[GIN] 2019/05/10 - 20:35:29 | 404 |       2.003µs |    202.29.52.15 | GET      /1x.php
[GIN] 2019/05/10 - 20:35:30 | 404 |       2.167µs |    202.29.52.15 | GET      /home.php
[GIN] 2019/05/10 - 20:35:30 | 404 |       2.052µs |    202.29.52.15 | GET      /undx.php
[GIN] 2019/05/10 - 20:35:31 | 404 |       2.192µs |    202.29.52.15 | GET      /spider.php
